Company Name,Position,Location,Date Posted,Job URL,Time Span
Boston's Pizza,Host,"Spokane, WA 99216",,https://www.indeed.com/rc/clk?jk=b64063942aa7b76c&bb=4xIH1JCMpLA6uB7mJR_ZFOExOxEAhAGBHyy0Zw3L2wrhnBKam8X_VAot7H7-bviAts0dzTGMQwTtTir3UXcTM9WL6kmvcwij8tCoSyoB1K09RBiVMUh1-Tn9wDnMePMT&xkcb=SoCf67M34deOJ1y4Qh0AbzkdCdPP&fccid=c1b1b03bc22e7808&vjs=3,14Days
Subway - 10364-0,Sandwich Artist ®,"Spokane, WA 99203",,https://www.indeed.com/rc/clk?jk=14ca3fd8025183df&bb=1KkX101SYmdndv7rnvD4f-Zl5flpweR9Ue4A_E44I2fng93lSH5GqjEie7H95b-4xVi62XfXFH2POOr8L0feisKfeZLLsEvf9EZch_KndlzrYxVc3yTBGiMeE-wqOve4&xkcb=SoBm67M34deeFwQEFR0KbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3,14Days
Boston's Pizza,Dishwasher,"Spokane, WA 99216",,https://www.indeed.com/rc/clk?jk=320bd0664f74964e&bb=1KkX101SYmdndv7rnvD4fzqSUytXK0lIRYSN-Q9eSEb3qvyXkgtNJoDTJuZr4-q-gkGXT-L3udbazDuPilPTUdSJ1wBP5xJ4Y7-LelkzrrIJA0V9I2RsUWZUB5h_628O&xkcb=SoAo67M34deeFwQEFR0AbzkdCdPP&fccid=c1b1b03bc22e7808&vjs=3,14Days
Boston's Pizza,Server,"Spokane, WA 99216",,https://www.indeed.com/rc/clk?jk=16020dc524c824ed&bb=oh49SEZ7HYiDQAZB0hf8LF5Tm3ExnbiicdosXEY_iVk-7Z1T9ksWCgDMTx-S2CeaqMFEf9RaK4cDuSZeEKk8hcnJl_eXkbGhLWDFg5BDRFEjGWt4aW8bCrZRQNpZPRW_&xkcb=SoB967M34devHuwELx0NbzkdCdPP&fccid=c1b1b03bc22e7808&vjs=3,14Days
Touchmark,Server,"Spokane, WA 99223 
(Lincoln Heights area)",,https://www.indeed.com/rc/clk?jk=4b6d33f1b5679562&bb=oh49SEZ7HYiDQAZB0hf8LIyz34uQcP_UGzWR9dkm0vlmvQrZpdrPhlsiBJVM-j9Qhc2xbcyN3D5SKUAWOv29LcOJuxGNqHMKcL3ehUQtVo32nGKvCkiu1PTybRWdYWLB&xkcb=SoC967M34devHuwELx0AbzkdCdPP&fccid=6026252d1d1eae8d&vjs=3,14Days
Lithia Chrysler Dodge Jeep Ram Fiat of Spokane,Automotive Sales Manager,"Spokane, WA 99218",,https://www.indeed.com/rc/clk?jk=e35d785d96cd432b&bb=oh49SEZ7HYiDQAZB0hf8LIo3T-lFXssIj2oMTXmFGaUjxXCNKHQvKlZE0OuqEj284iqhx9hV_e_jZqa3wD56jECDFRf0J5FfJ0Btz3jCvujWjtrDGpA7XOgBSRr_PAR0&xkcb=SoCH67M34devHuwELx0GbzkdCdPP&fccid=f75c0b3e575408cf&vjs=3,14Days
Dairy Queen,Kitchen Crew Member,"Spokane, WA 99223 
(Moran Prairie area)",,https://www.indeed.com/rc/clk?jk=e24a26c71185a2cf&bb=L_8Q3jWMbhlMEKBDQ8Gbmp6wEWEqbkqszSJaNeev9nxni-3sCATpePSemwgrTx7pYw81PaebMYgousdTmv4GboFcoWHhW9somd30uIwtyg1XAEJs5eWnSg7baInnUq0y&xkcb=SoDU67M34dffC_SMaB0BbzkdCdPP&fccid=999cdc81874b9237&vjs=3,14Days
Asurea Powered by Quility,Remote Territory Sales Executive,"Remote in Spokane, WA 99201",,https://www.indeed.com/rc/clk?jk=9e3f2f0bb37cea20&bb=I2d1WCQJavs1Wnc9VY1ckYvyyU0cG9P4yZVy3GBqcTB_Waw4EWNIca0TBtEFlZpDMtJIeGFIbIYZxLYor8CRXGcPdoIPThLK_ihaouODP6MiCbukuPfjxO5fGJM1iBfn&xkcb=SoCo67M34df_FkyMaB0PbzkdCdPP&fccid=36c06c192bd1856e&vjs=3,14Days
SALON SERVICES PRO INC,Store Assistant,"Spokane, WA 99202 
(East Central area)",,https://www.indeed.com/rc/clk?jk=fbc5ae74725a6b35&bb=kxXGDTQgACX8X4U578fcb68OcDeYEHpizvNp5f_jMBXD8Y8iA1SucqlRnbu3WLd-R_qSv2IwMEi8MXbt4bTckjzZb6TvD9Q6zHEpL-ON3Gt5jC0DM2ZmHmKGwg8mABxi&xkcb=SoDz67M34dQPQ9yMch0ObzkdCdPP&fccid=aa5fd3ba19820bbd&vjs=3,14Days
Subway - 23979-0,Sandwich Artist ®,"Spokane, WA 99216",,https://www.indeed.com/rc/clk?jk=43e535b007853aad&bb=kxXGDTQgACX8X4U578fcb510tuJkSa9zmbRqZxwR2GY3LjbNN2io9hR0ZsQ_IRT-3wIi58YnkI57BNhkyKEYPAFEW6T0YJYbsw7FD72XoGnvpjKdqaJO7c-8SyrZ_zQl&xkcb=SoAa67M34dQPQ9yMch0BbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3,14Days
