Tournament,Season,Round,Date,StartTime,MatchID,MatchCustomID,MatchStatus,HomeTeamnName,HomeTeamnNameCode,HomeTeamID,AwayTeamName,AwayTeamNameCode,AwayTeamID,HomeScoreFT,AwayScoreFT
Kenyan Premier League,2015,12,2015-05-17,15:00,6738311,DufbsWufb,Finished,Kenya Commercial Bank,KCB,138478,Tusker,TUS,138496,1,1
Kenyan Premier League,2015,12,2015-05-17,15:00,6738315,NufbsPufb,Finished,Sofapaka,SOF,138488,Sony Sugar,SSU,138490,2,2
Kenyan Premier League,2015,12,2015-05-17,15:00,6738314,RufbsYufb,Finished,Thika United,TUN,138492,Ulinzi Stars,ULS,138498,1,1
Kenyan Premier League,2015,12,2015-05-17,15:45,6738316,gLdbsUufb,Finished,Gor Mahia FC,GOR,134306,Top Fry Nakuru,TFN,138494,5,5
Kenyan Premier League,2015,13,2015-05-23,15:00,6738328,PufbsRufb,Finished,Sony Sugar,SSU,138490,Thika United,TUN,138492,0,0
Kenyan Premier League,2015,13,2015-05-23,15:00,6738326,LufbsYufb,Finished,Ulinzi Stars,ULS,138498,Nairobi City Stars FC,NCS,138486,1,1
Kenyan Premier League,2015,13,2015-05-23,15:00,6738327,IDFsavfb,Finished,Western Stima FC,WST,138500,AFC Leopards SC,LDS,76433,2,2
Kenyan Premier League,2015,13,2015-05-24,15:00,6738329,zufbsHufb,Finished,Bandari FC,BAN,138474,Mathare United,MAU,138482,0,0
Kenyan Premier League,2015,13,2015-05-24,15:00,6738331,DufbsFufb,Finished,Kenya Rev. Authority,KAU,138480,Kenya Commercial Bank,KCB,138478,2,2
Kenyan Premier League,2015,13,2015-05-24,15:00,6738330,BufbsUufb,Finished,Top Fry Nakuru,TFN,138494,Chemelil Sugar,CSU,138476,2,2
Kenyan Premier League,2015,13,2015-05-24,15:45,6738332,gLdbsJufb,Finished,Muhoroni Youth FC,MUY,138484,Gor Mahia FC,GOR,134306,0,0
Kenyan Premier League,2015,14,2015-05-30,13:30,6750463,DufbsJufb,Finished,Kenya Commercial Bank,KCB,138478,Muhoroni Youth FC,MUY,138484,3,3
Kenyan Premier League,2015,14,2015-05-30,15:00,6750462,Bufbsavfb,Finished,Chemelil Sugar,CSU,138476,Western Stima FC,WST,138500,0,0
Kenyan Premier League,2015,14,2015-05-30,15:00,6750460,LufbsUufb,Finished,Nairobi City Stars FC,NCS,138486,Top Fry Nakuru,TFN,138494,1,1
Kenyan Premier League,2015,14,2015-05-30,15:45,6750466,PufbsWufb,Finished,Tusker,TUS,138496,Sony Sugar,SSU,138490,2,2
Kenyan Premier League,2015,14,2015-05-31,16:00,6750467,NufbsYufb,Finished,Sofapaka,SOF,138488,Ulinzi Stars,ULS,138498,2,2
Kenyan Premier League,2015,14,2015-06-01,13:30,6750465,zufbsFufb,Finished,Kenya Rev. Authority,KAU,138480,Bandari FC,BAN,138474,0,0
Kenyan Premier League,2015,14,2015-06-01,15:45,6750461,IDFsHufb,Finished,Mathare United,MAU,138482,AFC Leopards SC,LDS,76433,1,1
Kenyan Premier League,2015,14,2015-06-01,18:00,6750464,gLdbsRufb,Finished,Thika United,TUN,138492,Gor Mahia FC,GOR,134306,0,0
Kenyan Premier League,2015,15,2015-06-06,12:45,6751366,Fufbsavfb,Finished,Western Stima FC,WST,138500,Kenya Rev. Authority,KAU,138480,0,0
Kenyan Premier League,2015,15,2015-06-06,13:00,6751370,BufbsJufb,Finished,Muhoroni Youth FC,MUY,138484,Chemelil Sugar,CSU,138476,0,0
Kenyan Premier League,2015,15,2015-06-06,14:00,6751369,LufbsPufb,Finished,Sony Sugar,SSU,138490,Nairobi City Stars FC,NCS,138486,0,0
Kenyan Premier League,2015,15,2015-06-06,15:00,6751373,HufbsUufb,Finished,Top Fry Nakuru,TFN,138494,Mathare United,MAU,138482,0,0
Kenyan Premier League,2015,15,2015-06-06,15:15,6751372,gLdbsWufb,Finished,Gor Mahia FC,GOR,134306,Tusker,TUS,138496,1,1
Kenyan Premier League,2015,15,2015-06-07,15:00,6751368,IDFsNufb,Finished,AFC Leopards SC,LDS,76433,Sofapaka,SOF,138488,1,1
Kenyan Premier League,2015,15,2015-06-07,15:00,6751371,zufbsRufb,Finished,Bandari FC,BAN,138474,Thika United,TUN,138492,2,2
Kenyan Premier League,2015,15,2015-06-07,15:00,6751367,DufbsYufb,Finished,Ulinzi Stars,ULS,138498,Kenya Commercial Bank,KCB,138478,2,2
Kenyan Premier League,2015,16,2015-06-26,17:00,6776681,HufbsYufb,Finished,Mathare United,MAU,138482,Ulinzi Stars,ULS,138498,1,1
Kenyan Premier League,2015,16,2015-06-26,19:15,6776679,UufbsWufb,Finished,Tusker,TUS,138496,Top Fry Nakuru,TFN,138494,3,3
Kenyan Premier League,2015,16,2015-06-27,13:30,6776680,zufbsDufb,Finished,Kenya Commercial Bank,KCB,138478,Bandari FC,BAN,138474,0,0
Kenyan Premier League,2015,16,2015-06-27,14:00,6776682,gLdbsBufb,Finished,Chemelil Sugar,CSU,138476,Gor Mahia FC,GOR,134306,1,1
Kenyan Premier League,2015,16,2015-06-27,15:00,6776677,JufbsLufb,Finished,Nairobi City Stars FC,NCS,138486,Muhoroni Youth FC,MUY,138484,1,1
Kenyan Premier League,2015,16,2015-06-27,15:00,6776676,Nufbsavfb,Finished,Sofapaka,SOF,138488,Western Stima FC,WST,138500,1,1
Kenyan Premier League,2015,16,2015-06-27,15:30,6776683,FufbsPufb,Finished,Kenya Rev. Authority,KAU,138480,Sony Sugar,SSU,138490,1,1
Kenyan Premier League,2015,16,2015-06-27,16:15,6776678,IDFsRufb,Canceled,Thika United,TUN,138492,AFC Leopards SC,LDS,76433,1,1
Kenyan Premier League,2015,17,2015-07-07,15:00,6776690,BufbsNufb,Finished,Chemelil Sugar,CSU,138476,Sofapaka,SOF,138488,0,0
Kenyan Premier League,2015,17,2015-07-08,14:00,6776686,LufbsUufb,Finished,Top Fry Nakuru,TFN,138494,Nairobi City Stars FC,NCS,138486,1,1
Kenyan Premier League,2015,17,2015-07-08,15:00,6776687,zufbsFufb,Finished,Bandari FC,BAN,138474,Kenya Rev. Authority,KAU,138480,1,1
Kenyan Premier League,2015,17,2015-07-08,15:00,6776685,JufbsPufb,Finished,Muhoroni Youth FC,MUY,138484,Sony Sugar,SSU,138490,0,0
Kenyan Premier League,2015,17,2015-07-08,15:00,6776689,Hufbsavfb,Finished,Western Stima FC,WST,138500,Mathare United,MAU,138482,1,1
Kenyan Premier League,2015,17,2015-07-08,16:00,6776684,gLdbsRufb,Finished,Gor Mahia FC,GOR,134306,Thika United,TUN,138492,2,2
Kenyan Premier League,2015,17,2015-07-08,16:15,6776688,WufbsYufb,Finished,Ulinzi Stars,ULS,138498,Tusker,TUS,138496,1,1
Kenyan Premier League,2015,17,2015-07-08,18:00,6776691,IDFsDufb,Finished,AFC Leopards SC,LDS,76433,Kenya Commercial Bank,KCB,138478,2,2
Kenyan Premier League,2015,18,2015-07-11,14:00,6788206,DufbsNufb,Finished,Kenya Commercial Bank,KCB,138478,Sofapaka,SOF,138488,2,2
Kenyan Premier League,2015,18,2015-07-11,15:00,6788212,JufbsUufb,Finished,Muhoroni Youth FC,MUY,138484,Top Fry Nakuru,TFN,138494,2,2
