Product_link,Product_name,Product_price
https://megawines.co.ke/product/evans-williams-single-barrels-750ml/,EVANS WILLIAMS SINGLE BARRELS 750ML,7800.00
https://megawines.co.ke/product/famous-grouse-1000ml/,FAMOUS GROUSE 1000ML,2600.00
https://megawines.co.ke/product/famous-grouse-1140ml/,FAMOUS GROUSE 1140ML,2300.00
https://megawines.co.ke/product/famous-grouse-12yrs-malt-750ml/,FAMOUS GROUSE 12YRS MALT 750ML,3800.00
https://megawines.co.ke/product/famous-grouse-16yrs-700ml/,FAMOUS GROUSE 16YRS 700ML,6000.00
https://megawines.co.ke/product/famous-grouse-250ml/,FAMOUS GROUSE 250ML,550.00
https://megawines.co.ke/product/famous-grouse-350ml/,FAMOUS GROUSE 350ML,950.00
https://megawines.co.ke/product/famous-grouse-4500ml/,FAMOUS GROUSE 4500ML,10500.00
https://megawines.co.ke/product/famous-grouse-750ml/,FAMOUS GROUSE 750ML,2100.00
https://megawines.co.ke/product/famous-grouse-bourbon-cask-1000ml/,FAMOUS GROUSE BOURBON CASK 1000ML,3100.00
https://megawines.co.ke/product/famous-grouse-gold-reserve-1000ml/,FAMOUS GROUSE GOLD RESERVE 1000ML,4000.00
https://megawines.co.ke/product/famous-grouse-port-wood-cask-finish-1000ml/,FAMOUS GROUSE PORT WOOD CASK FINISH 1000ML,2500.00
https://megawines.co.ke/product/famous-grouse-ruby-cask-1000ml/,FAMOUS GROUSE RUBY CASK 1000ML,2400.00
https://megawines.co.ke/product/famous-grouse-smoky-black-1000ml/,FAMOUS GROUSE SMOKY BLACK 1000ML,3800.00
https://megawines.co.ke/product/famous-grouse-smoky-black-700ml/,FAMOUS GROUSE SMOKY BLACK 700ML,2780.00
https://megawines.co.ke/product/famous-grouse-toasted-cask-1000ml/,FAMOUS GROUSE TOASTED CASK 1000ML,3800.00
https://megawines.co.ke/product/famous-mellow-gold-1000ml/,FAMOUS MELLOW GOLD 1000ML,2500.00
https://megawines.co.ke/product/fernet-branca-750ml/,FERNET BRANCA 750ML,4000.00
https://megawines.co.ke/product/four-roses-1000ml/,FOUR ROSES 1000ML,3500.00
https://megawines.co.ke/product/four-roses-700ml/,FOUR ROSES 700ML,2600.00
https://megawines.co.ke/product/four-roses-small-batch-700ml/,FOUR ROSES SMALL BATCH 700ML,3200.00
https://megawines.co.ke/product/franschhoek-cellar-pinotage-750ml/,FRANSCHHOEK CELLAR PINOTAGE 750ML,1800.00
https://megawines.co.ke/product/gekkeikan-sake-720ml/,GEKKEIKAN SAKE 720ML,2300.00
https://megawines.co.ke/product/gentleman-jack-1000ml/,GENTLEMAN JACK 1000ML,6750.00
https://megawines.co.ke/product/gentleman-jack-375ml/,GENTLEMAN JACK 375ML,2750.00
https://megawines.co.ke/product/gentleman-jack-750ml/,GENTLEMAN JACK 750ML,5200.00
https://megawines.co.ke/product/george-dickel-no-8-1000ml/,GEORGE DICKEL NO.8 1000ML,4250.00
https://megawines.co.ke/product/glenfiddich-18yrs-700ml/,GLENFIDDICH 18YRS 700ML,16150.00
https://megawines.co.ke/product/gold-bar-whisky-750ml/,GOLD BAR WHISKY 750ML,5500.00
https://megawines.co.ke/product/grants-1125ml/,GRANTS 1125ML,2300.00
https://megawines.co.ke/product/grants-375ml/,GRANTS 375ML,800.00
https://megawines.co.ke/product/grants-4500ml/,GRANTS 4500ML,9800.00
https://megawines.co.ke/product/grants-cask-rum-finish-1000ml/,GRANTS CASK RUM FINISH 1000ML,1950.00
https://megawines.co.ke/product/grants-distillery-edition-1000ml/,GRANTS DISTILLERY EDITION 1000ML,1800.00
https://megawines.co.ke/product/grants-oxygen-8yrs-1000ml/,GRANTS OXYGEN 8YRS 1000ML,2500.00
https://megawines.co.ke/product/grants-select-reserve-750ml/,GRANTS SELECT RESERVE 750ML,2800.00
