Tournament,Season,Round,Date,StartTime,MatchID,MatchCustomID,MatchStatus,HomeTeamName,HomeTeamNameCode,HomeTeamID,AwayTeamName,AwayTeamNameCode,AwayTeamID,HomeScoreFT,AwayScoreFT
Kenyan Premier League,2017,6,2017-04-21,15:00,7389840,zufbsBufb,Finished,Chemelil Sugar,CSU,138476,Bandari FC,BAN,138474,1,1
Kenyan Premier League,2017,6,2017-04-22,14:00,7389848,fxKbsHvYb,Finished,Posta Rangers,PRA,213605,Kariobangi Sharks,KAR,246032,1,1
Kenyan Premier League,2017,6,2017-04-22,15:00,7389841,avfbsFRid,Finished,Dandora Love,DLO,397130,Western Stima FC,WST,138500,2,2
Kenyan Premier League,2017,6,2017-04-22,15:00,7389845,JufbsPufb,Finished,Muhoroni Youth FC,MUY,138484,Sony Sugar,SSU,138490,2,2
Kenyan Premier League,2017,6,2017-04-22,15:00,7389843,IvYbsnTid,Finished,Nzoia United,NZO,246033,Zoo F.C.,ZFC,397163,1,1
Kenyan Premier League,2017,6,2017-04-22,15:00,7389850,NufbsexKb,Finished,Sofapaka,SOF,138488,Kakamega Homeboyz,KAH,213604,0,0
Kenyan Premier League,2017,6,2017-04-22,16:15,7389846,gLdbsWufb,Finished,Gor Mahia FC,GOR,134306,Tusker,TUS,138496,0,0
Kenyan Premier League,2017,6,2017-04-23,15:00,7389844,IDFsRufb,Finished,Thika United,TUN,138492,AFC Leopards SC,LDS,76433,1,1
Kenyan Premier League,2017,6,2017-04-23,15:00,7389842,HufbsYufb,Finished,Ulinzi Stars,ULS,138498,Mathare United,MAU,138482,5,5
Kenyan Premier League,2017,7,2017-04-25,15:00,7389852,JufbsnTid,Finished,Zoo F.C.,ZFC,397163,Muhoroni Youth FC,MUY,138484,1,1
Kenyan Premier League,2017,7,2017-04-26,14:00,7389856,RufbsHvYb,Finished,Kariobangi Sharks,KAR,246032,Thika United,TUN,138492,1,1
Kenyan Premier League,2017,7,2017-04-26,15:00,7389849,gLdbszufb,Finished,Bandari FC,BAN,138474,Gor Mahia FC,GOR,134306,1,1
Kenyan Premier League,2017,7,2017-04-26,15:00,7389847,YufbsexKb,Finished,Kakamega Homeboyz,KAH,213604,Ulinzi Stars,ULS,138498,1,1
Kenyan Premier League,2017,7,2017-04-26,15:00,7389854,BufbsHufb,Finished,Mathare United,MAU,138482,Chemelil Sugar,CSU,138476,0,0
Kenyan Premier League,2017,7,2017-04-26,15:00,7389853,PufbsfxKb,Finished,Sony Sugar,SSU,138490,Posta Rangers,PRA,213605,0,0
Kenyan Premier League,2017,7,2017-04-26,15:00,7389858,WufbsFRid,Finished,Tusker,TUS,138496,Dandora Love,DLO,397130,2,2
Kenyan Premier League,2017,7,2017-04-26,15:00,7389857,avfbsIvYb,Finished,Western Stima FC,WST,138500,Nzoia United,NZO,246033,0,0
Kenyan Premier League,2017,7,2017-04-26,16:15,7389851,IDFsNufb,Finished,AFC Leopards SC,LDS,76433,Sofapaka,SOF,138488,0,0
