SKU,START_DATE,END_DATE,DATE_QUALIFIER,DISCONTINUED,BRAND,PRODUCT_GROUP1,PRODUCT_GROUP2,PRODUCT_GROUP3,PRODUCT_GROUP4,PRODUCT_GROUP1_QTY,PRODUCT_GROUP2_QTY,PRODUCT_GROUP3_QTY,PRODUCT_GROUP4_QTY,DEPARTMENT1,ROOM1,ROOM2,ROOM3,ROOM4,ROOM5,ROOM6,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,CATEGORY5,CATEGORY6,COLLECTION,FINISH1,FINISH2,FINISH3,MATERIAL,MOTION_TYPE1,MOTION_TYPE2,SECTIONAL,TYPE1,SUBTYPE1A,SUBTYPE1B,TYPE2,SUBTYPE2A,SUBTYPE2B,TYPE3,SUBTYPE3A,SUBTYPE3B,STYLE,SUITE,COUNTRY_OF_ORIGIN,MADE_IN_USA,BED_SIZE1,FEATURES1,TABLE_TYPE,SEAT_TYPE,WIDTH,DEPTH,HEIGHT,LENGTH,INSIDE_WIDTH,INSIDE_DEPTH,INSIDE_HEIGHT,WEIGHT,VOLUME,DIAMETER,ARM_HEIGHT,SEAT_DEPTH,SEAT_HEIGHT,SEAT_WIDTH,HEADBOARD_HEIGHT,FOOTBOARD_HEIGHT,NUMBER_OF_DRAWERS,NUMBER_OF_LEAVES,NUMBER_OF_SHELVES,CARTON_WIDTH,CARTON_DEPTH,CARTON_HEIGHT,CARTON_WEIGHT,CARTON_VOLUME,CARTON_LENGTH,PHOTO1,PHOTO2,PHOTO3,PHOTO4,PHOTO5,PHOTO6,PHOTO7,PHOTO8,PHOTO9,PHOTO10,INFO1,INFO2,INFO3,INFO4,INFO5,DESCRIPTION,PRODUCT_DESCRIPTION,SPECIFICATIONS,CONSTRUCTION,COLLECTION_FEATURES,WARRANTY,ADDITIONAL_INFORMATION,DISCLAIMER,VIEWTYPE,ITEM_URL
6277-1-L,,,,,,,,,,,,,,,,,,,,,STATIONARY LOUNGE CHAIRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,40.5,36.25,,22,20.5,,,,,24,,19.75,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/6-28-2016_8-56-01_AM_1_HR.jpg,,,,,,,,,,,,,,,MONACO CHAIR WITH LACING,,,,,,"Standard with ""R"" and ""S"" nails as shown.",,,https://www.hancockandmoore.com/Products/Detail?SKU=6277-1-L
6585-1,,,,,,,,,,,,,,,,,,,,,STATIONARY LOUNGE CHAIRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,42.5,36.5,,22,21,,,,,22.5,,20.5,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/6585-1_Moselle_TilLag_Espresso_0419_HR.jpg,,,,,,,,,,,,,,,MOSELLE CHAIR,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=6585-1
6579-1,,,,,,,,,,,,,,,,,,,,,STATIONARY LOUNGE CHAIRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,39,34.5,,22.5,21,,,,,23,,20,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/6579-1_Marla_DurDol_Espresso_0419_HR.jpg,,,,,,,,,,,,,,,MARLA CHAIR,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=6579-1
5820-1,,,,,,,,,,,,,,,,,,,,,STATIONARY LOUNGE CHAIRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.25,39,36,,21.25,20.75,,,,,24,,18.5,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/5820-1_Maverick_ST_HR.jpg,https://www.hancockandmoore.com/Documents/prod-images/5820-1_Maverick_ST1_HR.jpg,https://www.hancockandmoore.com/Documents/prod-images/5820-1_Maverick_1015_HR.jpg,,,,,,,,,,,,,MAVERICK CHAIR,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=5820-1
5736-1,,,,,,,,,,,,,,,,,,,,,STATIONARY LOUNGE CHAIRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.75,39,35.5,,21.75,21.5,,,,,22.25,,18.5,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/5736-1_Martini_SO1_HR.jpg,,,,,,,,,,,,,,,MARTINI CHAIR,,,,,,This style is not available without nails or with nails spaced around the arms. Nail placement is standard as shown.,,,https://www.hancockandmoore.com/Products/Detail?SKU=5736-1
H6869-1,,,,,,,,,,,,,,,,,,,,,STATIONARY LOUNGE CHAIRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,40,35.5,,25,22,,,,,25,,20.5,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/H6869-1_Luna_FenTru_Java_0423_HR.jpg,https://www.hancockandmoore.com/Documents/prod-images/H6869-1_Luna_FenTru_Java_0423_BK_HR.jpg,,,,,,,,,,,,,,LUNA CHAIR,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=H6869-1
6029-1,,,,,,,,,,,,,,,,,,,,,STATIONARY LOUNGE CHAIRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,37,37.25,,21,21.5,,,,,24.5,,20.25,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/6029-1_Marin_ST1_HR.jpg,,,,,,,,,,,,,,,MARIN CHAIR,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=6029-1
6258-1,,,,,,,,,,,,,,,,,,,,,STATIONARY LOUNGE CHAIRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.5,35.75,33.5,,21.5,20.5,,,,,23,,20.5,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/6-27-2016_1-46-59_PM_1_HR.jpg,https://www.hancockandmoore.com/Documents/prod-images/6-27-2016_1-46-59_PM_2_HR.jpg,https://www.hancockandmoore.com/Documents/prod-images/6-27-2016_1-46-59_PM_3_HR.jpg,,,,,,,,,,,,,LUCAS CHAIR,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=6258-1
6690-1,,,,,,,,,,,,,,,,,,,,,STATIONARY LOUNGE CHAIRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.25,37,32.5,,21.75,22.25,,,,,22.25,,18.75,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/6690-1_Macklin_HydParOysPatBur_Buck_0421_HR.jpg,https://www.hancockandmoore.com/Documents/prod-images/6690-1_Macklin_HydParOysPatBur_Buck_0421_BK_HR.jpg,,,,,,,,,,,,,,MACKLIN CHAIR,,,,,,Shown in Hyde Park Oyster Patina Burnished with Buck finish.,,,https://www.hancockandmoore.com/Products/Detail?SKU=6690-1
7174,,,,,,,,,,,,,,,,,,,,,RECLINERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.5,38.5,41,,21,19,,,,,24.5,,19.5,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/7174_Agnes_TurFaw_Java_1018_HR.jpg,https://www.hancockandmoore.com/Documents/prod-images/7174_Agnes_TurFaw_Java_1018_OPEN_HR.jpg,https://www.hancockandmoore.com/Documents/prod-images/7174_Agnes_TurFaw_Java_1018_BK_HR.jpg,,,,,,,,,,,,,AGNES RECLINER,,,,,,"Shown with optional ""BK"" nail.  Standard with ""A"" nail.",,,https://www.hancockandmoore.com/Products/Detail?SKU=7174
