SKU,START_DATE,END_DATE,DATE_QUALIFIER,DISCONTINUED,BRAND,PRODUCT_GROUP1,PRODUCT_GROUP2,PRODUCT_GROUP3,PRODUCT_GROUP4,PRODUCT_GROUP1_QTY,PRODUCT_GROUP2_QTY,PRODUCT_GROUP3_QTY,PRODUCT_GROUP4_QTY,DEPARTMENT1,ROOM1,ROOM2,ROOM3,ROOM4,ROOM5,ROOM6,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,CATEGORY5,CATEGORY6,COLLECTION,FINISH1,FINISH2,FINISH3,MATERIAL,MOTION_TYPE1,MOTION_TYPE2,SECTIONAL,TYPE1,SUBTYPE1A,SUBTYPE1B,TYPE2,SUBTYPE2A,SUBTYPE2B,TYPE3,SUBTYPE3A,SUBTYPE3B,STYLE,SUITE,COUNTRY_OF_ORIGIN,MADE_IN_USA,BED_SIZE1,FEATURES1,TABLE_TYPE,SEAT_TYPE,WIDTH,DEPTH,HEIGHT,LENGTH,INSIDE_WIDTH,INSIDE_DEPTH,INSIDE_HEIGHT,WEIGHT,VOLUME,DIAMETER,ARM_HEIGHT,SEAT_DEPTH,SEAT_HEIGHT,SEAT_WIDTH,HEADBOARD_HEIGHT,FOOTBOARD_HEIGHT,NUMBER_OF_DRAWERS,NUMBER_OF_LEAVES,NUMBER_OF_SHELVES,CARTON_WIDTH,CARTON_DEPTH,CARTON_HEIGHT,CARTON_WEIGHT,CARTON_VOLUME,CARTON_LENGTH,PHOTO1,PHOTO2,PHOTO3,PHOTO4,PHOTO5,PHOTO6,PHOTO7,PHOTO8,PHOTO9,PHOTO10,INFO1,INFO2,INFO3,INFO4,INFO5,DESCRIPTION,PRODUCT_DESCRIPTION,SPECIFICATIONS,CONSTRUCTION,COLLECTION_FEATURES,WARRANTY,ADDITIONAL_INFORMATION,DISCLAIMER,VIEWTYPE,ITEM_URL
9748RAQ,,,,,,,,,,,,,,,,,,,,,No Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,42,36,,60,23.5,,,,,25,,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEPTEMBER RIGHT ARM QUARTER LOVESEAT,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=9748RAQ
9747,,,,,,,,,,,,,,,,,,,,,Sofa / Chair Collections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,42,35.5,,22,23.5,,,,,25,,21.5,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/9747_September_DocCop_0514_HR.jpg,,,,,,,,,,,,,,,SEPTEMBER CHAIR,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=9747
3818ST,,,,,,,,,,,,,,,,,,,,,Executive Chairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,34,42,,19,19,,,,,26,,20,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/3818ST_Senators_1_HR.jpg,,,,,,,,,,,,,,,SENATOR'S SWIVEL TILT CHAIR,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=3818ST
9746,,,,,,,,,,,,,,,,,,,,,Sofa / Chair Collections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,22,16.5,,,,,,,,,,,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/9746_September_DocCop_0514_HR.jpg,https://www.hancockandmoore.com/Documents/prod-images/9746_9747_HR.jpg,,,,,,,,,,,,,,SEPTEMBER OTTOMAN,,,,,,"Shown with optional bun feet available at an upcharge (adds 1"" to overall height).  Standard with casters as shown in second image.",,,https://www.hancockandmoore.com/Products/Detail?SKU=9746
5738ST-PL,,,,,,,,,,,,,,,,,,,,,Executive Chairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,31,41,,20.5,19,,,,,26,,20,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/5738ST-PL_Sebring_EX_HR.jpg,https://www.hancockandmoore.com/Documents/prod-images/5738ST-PL_Sebring_EX1_HR.jpg,,,,,,,,,,,,,,SEBRING SWIVEL TILT CHAIR,,,,,,This chair has a pneumatic lift.,,,https://www.hancockandmoore.com/Products/Detail?SKU=5738ST-PL
6738ST-PL,,,,,,,,,,,,,,,,,,,,,Executive Chairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,28.5,37.25,,18,18,,,,,25,,18.5,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/6738ST-PL_Sebring_CamCarBur_Denmark_1018_HR.jpg,,,,,,,,,,,,,,,SEBRING SWIVEL TILT PNEUMATIC LIFT CHAIR,,,,,,This chair has a pneumatic lift.,,,https://www.hancockandmoore.com/Products/Detail?SKU=6738ST-PL
9748,,,,,,,,,,,,,,,,,,,,,No Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,42,38,,43,23.5,,,,,25,,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEPTEMBER LOVESEAT,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=9748
9748LAQ,,,,,,,,,,,,,,,,,,,,,No Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,42,36,,60,23.5,,,,,25,,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEPTEMBER LEFT ARM QUARTER LOVESEAT,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=9748LAQ
7217-PRB,,,,,,,,,,,,,,,,,,,,,Power Recliners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.5,37.75,42.5,,21.5,20.75,,,,,25,,21,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/7217_Sawyer_McLTau_Java_0424_HR_24717.jpg,https://www.hancockandmoore.com/Documents/prod-images/7217_Sawyer_McLTau_Java_0424_OPEN_HR_63285.jpg,https://www.hancockandmoore.com/Documents/prod-images/7217_Sawyer_McLTau_Java_0424_BK_HR_63285.jpg,,,,,,,,,,,,,SAWYER POWER RECLINER WITH BATTERY,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=7217-PRB
NC312,,,,,,,,,,,,,,,,,,,,,Sofas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,38.5,32,,73.5,21,,,,,28,,19.5,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/NC312_Scandic_FrieSisa_Espresso_1020_HR.jpg,,,,,,,,,,,,,,,SCANDIC SOFA,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=NC312
